Waktu Datang Sekarang,Waktu Datang Sebelumnya,Jeda Waktu,Detik
19:45:40,19:45:38,0:00:02,2
19:46:10,19:45:40,0:00:30,30
19:47:05,19:46:10,0:00:55,55
19:47:51,19:47:05,0:00:46,46
19:49:57,19:47:51,0:02:06,126
19:50:05,19:49:57,0:00:08,8
19:50:53,19:50:05,0:00:48,48
19:50:57,19:50:53,0:00:04,4
19:51:13,19:50:57,0:00:16,16
19:51:56,19:51:13,0:00:43,43
19:52:34,19:51:56,0:00:38,38
19:54:18,19:52:34,0:01:44,104
19:55:19,19:54:18,0:01:01,61
19:57:28,19:55:19,0:02:09,129
19:58:25,19:57:28,0:00:57,57
19:58:25,19:58:25,0:00:00,0
20:00:10,19:58:25,0:01:45,105
20:00:44,20:00:10,0:00:34,34
20:01:04,20:00:44,0:00:20,20
20:02:36,20:01:04,0:01:32,92
20:03:47,20:02:36,0:01:11,71
20:04:22,20:03:47,0:00:35,35
20:05:25,20:04:22,0:01:03,63
20:05:55,20:05:25,0:00:30,30
20:06:25,20:05:55,0:00:30,30
20:06:48,20:06:25,0:00:23,23
20:07:39,20:06:48,0:00:51,51
20:09:30,20:07:39,0:01:51,111
20:12:01,20:09:30,0:02:31,151
20:17:36,20:12:01,0:05:35,335
20:18:42,20:17:36,0:01:06,66
20:19:04,20:18:42,0:00:22,22
20:19:28,20:19:04,0:00:24,24
20:23:04,20:19:28,0:03:36,216
20:23:39,20:23:04,0:00:35,35
20:25:52,20:23:39,0:02:13,133
20:26:20,20:25:52,0:00:28,28
20:27:02,20:26:20,0:00:42,42
20:27:02,20:27:02,0:00:00,0
20:27:16,20:27:02,0:00:14,14
20:28:42,20:27:16,0:01:26,86
20:30:03,20:28:42,0:01:21,81
20:31:16,20:30:03,0:01:13,73
20:31:25,20:31:16,0:00:09,9
20:32:28,20:31:25,0:01:03,63
20:32:59,20:32:28,0:00:31,31